epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,659.473,0.5656,5.55354,0.66125,0.82989,0.96599,0.93489,0.88261,0.946,0.77861,0.49486,0.47911,0.36013,0.11196,0.60991,4.95973,0.62044,0.60591,1.01916,6.81901e-05,6.81901e-05,6.81901e-05
40,677.505,0.54517,5.33175,0.66303,0.80805,0.9688,0.90023,0.90549,0.9497,0.78275,0.47628,0.46692,0.34127,0.11171,0.61108,4.94493,0.6222,0.6116,1.01883,5.78143e-05,5.78143e-05,5.78143e-05
41,704.021,0.4744,4.87369,0.6494,0.86524,0.93862,0.90601,0.90704,0.94494,0.77812,0.52192,0.4773,0.35456,0.11512,0.6158,4.94908,0.62117,0.6756,1.02717,4.8198e-05,4.8198e-05,4.8198e-05
42,721.853,0.471,4.78634,0.64837,0.86291,0.9337,0.92115,0.88062,0.94161,0.77575,0.5124,0.52105,0.38123,0.12262,0.60374,4.93885,0.62087,0.67311,1.02487,3.93791e-05,3.93791e-05,3.93791e-05
43,739.391,0.4596,4.7489,0.64876,0.84811,0.92413,0.91894,0.91207,0.94723,0.77748,0.52553,0.5064,0.36606,0.11794,0.60894,4.91761,0.61997,0.67024,1.02442,3.13924e-05,3.13924e-05,3.13924e-05
44,757.179,0.46,4.72914,0.64972,0.86251,0.91679,0.92175,0.924,0.94679,0.77385,0.50542,0.49539,0.35794,0.12102,0.60867,4.89973,0.6199,0.66512,1.02663,2.42694e-05,2.42694e-05,2.42694e-05
45,774.559,0.4713,4.69833,0.64775,0.86343,0.934,0.92291,0.92786,0.94897,0.77933,0.51912,0.49418,0.36596,0.12447,0.61289,4.90875,0.61976,0.66368,1.02463,1.80383e-05,1.80383e-05,1.80383e-05
46,791.825,0.45102,4.67123,0.64469,0.84139,0.91817,0.92003,0.92325,0.94872,0.77546,0.50619,0.49539,0.36043,0.1257,0.61244,4.89705,0.61943,0.66719,1.02444,1.27236e-05,1.27236e-05,1.27236e-05
47,809.153,0.46164,4.7392,0.64806,0.84163,0.93786,0.92034,0.92296,0.94998,0.78048,0.5169,0.49403,0.36091,0.12598,0.61228,4.88451,0.61917,0.66259,1.02555,8.34636e-06,8.34636e-06,8.34636e-06
48,826.625,0.46381,4.70206,0.64424,0.83957,0.91427,0.92087,0.92265,0.95057,0.78389,0.52457,0.50197,0.37134,0.12724,0.61317,4.87713,0.61847,0.6631,1.02382,4.92376e-06,4.92376e-06,4.92376e-06
49,843.871,0.46853,4.70711,0.64885,0.84912,0.92688,0.92054,0.92394,0.94879,0.77866,0.5164,0.49404,0.36052,0.1249,0.61328,4.87708,0.61838,0.66072,1.02536,2.46935e-06,2.46935e-06,2.46935e-06
50,861.143,0.45688,4.64032,0.64301,0.83361,0.92393,0.92079,0.92042,0.94926,0.77999,0.52275,0.50197,0.37347,0.12744,0.6138,4.87858,0.61842,0.66476,1.02491,9.92825e-07,9.92825e-07,9.92825e-07
